oracle_calls,success_rate,exact_rank_probability,wilson_lower,wilson_upper,trials
2,0.0,0.0,0.0,0.009512640599680667,400
4,0.0,0.0,0.0,0.009512640599680667,400
6,0.6075,0.586695671081543,0.5588404787053632,0.6541143035657054,400
8,0.88,0.883563025854528,0.8444853274321313,0.9082850657121113,400
12,0.995,0.9924501000275532,0.9819547100278873,0.9986277757784289,400
16,0.9975,0.9995270497121568,0.9859763590327523,0.9995585635705656,400
24,1.0,0.9999981522571133,0.9904873594003194,1.0,400
